id,customer_id,product_id,order_id,rating,comment,,
1,2277,10,4,4,Loved the natural taste.,,
2,1700,4,6,4,Super refreshing and delicious!,,
3,4350,7,8,4,Super refreshing and delicious!,,
4,314,3,9,4,Super refreshing and delicious!,,
5,1708,7,10,4,Good taste and perfect temperature.,,
6,3757,17,11,5,Will order again for sure.,,
7,1758,9,12,4,Loved the natural taste.,,
8,849,15,18,4,Loved the natural taste.,,
9,587,12,19,3,Best juice in town!,,
10,2713,6,20,3,Will order again for sure.,,
11,2713,2,20,5,Best juice in town!,,
12,2686,15,21,4,Will order again for sure.,,
13,2686,4,21,5,Loved the natural taste.,,
14,2577,14,24,5,Best juice in town!,,
15,2755,2,26,4,Super refreshing and delicious!,,
16,2755,13,26,5,Will order again for sure.,,
17,750,5,27,4,Super refreshing and delicious!,,
18,750,18,27,4,Good taste and perfect temperature.,,
19,2695,2,28,5,Good taste and perfect temperature.,,
20,4740,12,30,4,Super refreshing and delicious!,,
21,4809,18,31,5,Will order again for sure.,,
22,1829,18,32,5,Good taste and perfect temperature.,,
23,4248,20,34,4,Best juice in town!,,
24,4683,19,35,4,Good taste and perfect temperature.,,
25,2778,15,41,3,Will order again for sure.,,
26,1773,10,45,5,Loved the natural taste.,,
27,3226,1,46,5,Loved the natural taste.,,
28,4969,1,48,4,Good taste and perfect temperature.,,
29,758,8,58,3,Super refreshing and delicious!,,
30,758,20,58,4,Will order again for sure.,,
31,197,12,60,5,Loved the natural taste.,,
32,3950,10,61,5,Super refreshing and delicious!,,
33,781,15,65,5,Will order again for sure.,,
34,1119,17,66,3,Loved the natural taste.,,
35,1119,11,66,4,Good taste and perfect temperature.,,
36,4208,20,68,5,Best juice in town!,,
37,2773,2,69,4,Best juice in town!,,
38,3392,5,70,5,Best juice in town!,,
39,4591,20,72,4,Loved the natural taste.,,
40,1226,2,73,4,Will order again for sure.,,
41,3828,8,74,3,Super refreshing and delicious!,,
42,222,12,75,5,Will order again for sure.,,
43,222,10,75,5,Best juice in town!,,
44,4555,3,76,4,Loved the natural taste.,,
45,4117,8,77,3,Good taste and perfect temperature.,,
46,4117,18,77,5,Best juice in town!,,
47,1794,14,78,5,Good taste and perfect temperature.,,
48,1794,17,78,3,Super refreshing and delicious!,,
49,2123,8,79,3,Best juice in town!,,
50,3566,18,81,5,Loved the natural taste.,,
51,3323,17,82,4,Will order again for sure.,,
52,389,2,83,5,Will order again for sure.,,
53,4208,18,85,5,Good taste and perfect temperature.,,
54,4873,16,87,5,Loved the natural taste.,,
55,190,4,88,5,Good taste and perfect temperature.,,
56,1364,3,89,4,Will order again for sure.,,
57,3742,17,90,4,Good taste and perfect temperature.,,
58,2615,9,93,5,Will order again for sure.,,
59,2213,19,94,5,Will order again for sure.,,
60,2213,6,94,5,Will order again for sure.,,
61,2213,4,94,4,Best juice in town!,,
62,1752,9,95,4,Loved the natural taste.,,
63,665,16,96,4,Will order again for sure.,,
64,665,15,96,4,Good taste and perfect temperature.,,
65,184,9,97,5,Will order again for sure.,,
66,1759,14,99,5,Will order again for sure.,,
67,4161,8,100,3,Loved the natural taste.,,
